197	005	012	015	019	029	052
198	001	008	018	023	035	040
199	010	016	037	050	052	057
200	012	015	019	034	044	051
201	005	020	022	030	035	055
202	012	024	044	045	049	053
203	011	019	029	044	047	055
204	029	031	039	041	051	058
205	026	032	040	043	046	054
206	018	020	026	034	051	056
207	003	007	019	024	053	055
208	015	023	024	025	047	057
209	013	021	026	032	041	052
210	020	032	037	038	048	058
211	010	020	033	040	045	050
212	006	015	029	045	057	059
213	003	009	023	030	032	035
214	006	012	030	031	035	050
215	007	028	037	046	053	058
216	014	018	030	035	042	059
217	003	027	032	045	049	051
218	012	017	040	042	047	054
219	023	026	028	036	042	049
220	013	014	036	053	055	060
221	013	027	043	050	054	058
222	005	019	030	048	052	055
223	002	006	022	024	028	058
224	007	016	018	020	021	044
225	002	004	016	021	037	058
226	001	002	038	049	050	059
227	011	026	027	037	042	048
228	013	016	040	043	045	059
229	011	013	021	033	039	045
230	008	040	041	044	053	056
231	016	027	036	042	044	059
232	019	022	029	037	041	059
233	003	007	024	032	036	045
234	015	025	041	042	045	054
235	002	022	029	031	041	055
236	010	025	050	052	057	060
237	007	031	036	045	056	057
238	009	013	015	037	041	042
239	006	021	033	044	046	047
240	025	028	038	041	057	059
241	011	031	035	040	056	057
242	004	007	021	022	028	056
243	011	016	020	023	032	047
244	019	024	033	047	050	060
245	008	027	044	051	053	060
246	002	016	032	037	043	057
247	003	010	023	030	034	046
248	016	032	034	035	041	056
249	021	036	040	049	054	055
250	007	025	041	042	043	055
251	015	023	030	034	049	055
252	004	017	026	032	051	054
253	011	012	024	037	044	056
254	001	004	021	022	030	056
255	016	019	020	032	044	055
256	002	021	026	032	034	052
257	001	004	005	019	028	034
258	007	012	050	054	055	060
259	013	015	020	033	043	058
260	004	006	033	043	059	060
261	005	016	020	030	054	056
262	011	020	048	053	058	060
263	008	009	026	043	050	053
264	001	005	013	025	031	033
265	007	016	034	041	050	053
266	002	023	038	046	048	054
267	001	008	045	046	055	058
268	005	006	010	021	033	047
269	017	018	019	025	049	052
270	005	009	027	035	040	045
271	014	024	026	029	031	054
272	009	010	024	036	056	058
273	010	017	023	027	047	052
274	011	013	018	026	039	047
275	016	019	030	037	038	048
276	022	039	045	053	057	059
277	004	026	038	040	052	056
278	010	015	018	022	031	055
279	004	023	031	047	058	059
280	005	016	020	025	030	058
281	005	011	031	038	047	053
282	009	014	023	024	033	036
283	025	028	034	042	048	054
284	007	008	014	030	032	036
285	012	032	037	041	050	056
286	029	035	037	044	047	056
287	003	013	025	033	047	060
288	006	009	011	017	018	050
289	006	007	020	025	030	036
290	007	025	026	030	040	057
291	005	016	017	018	022	041
292	013	023	024	034	045	053
293	005	006	007	012	028	035
294	022	025	028	041	045	057
295	007	012	024	031	044	050
296	003	020	042	046	051	052
297	001	020	028	033	036	041
298	005	022	023	024	034	060
299	002	005	007	033	049	053
300	024	027	028	038	041	057
301	009	026	048	049	057	058
302	012	025	030	040	041	060
303	007	013	017	030	037	047
304	007	011	034	041	042	059
305	005	011	027	038	053	060
306	019	030	041	047	056	057
307	013	016	017	026	041	044
308	004	011	025	029	039	055
309	004	011	025	039	050	055
310	002	014	028	029	031	032
311	022	024	030	032	038	041
312	014	023	030	041	047	050
313	014	016	024	037	038	053
314	005	032	034	037	040	058
315	012	021	022	028	043	050
316	006	024	028	043	051	056
317	016	020	027	030	035	048
318	003	019	020	031	040	053
319	012	016	017	019	023	048
320	020	022	027	047	050	053
321	004	011	031	032	048	049
322	011	018	029	044	047	056
323	026	031	033	040	049	054
324	008	015	022	025	030	047
325	001	003	004	021	023	053
326	021	023	040	044	051	052
327	029	032	033	038	046	048
328	005	007	014	021	023	051
329	010	011	012	024	035	040
330	002	004	014	023	037	051
331	001	013	020	027	035	037
332	023	028	029	034	042	044
333	004	027	035	044	052	053
334	014	023	024	026	041	051
335	007	023	033	043	057	059
336	002	018	022	026	030	054
337	004	014	016	031	052	054
338	001	004	009	036	046	048
339	005	012	013	016	027	050
340	009	010	012	033	042	060
341	005	016	022	023	043	056
342	016	029	034	049	051	054
343	004	006	007	012	024	041
344	010	012	014	033	035	036
345	011	022	046	051	056	058
346	007	012	041	046	056	060
347	001	010	012	026	048	052
348	019	030	033	039	040	052
349	008	009	028	032	038	054
350	010	015	023	030	043	057
351	015	016	024	041	059	060
352	007	020	025	044	047	049
353	019	023	030	046	055	060
354	007	016	038	040	041	052
355	002	014	022	023	037	060
356	005	019	021	054	056	058
357	002	030	032	035	045	053
358	012	017	021	032	040	042
359	013	019	020	029	031	054
360	023	024	029	047	053	055
361	016	028	031	041	045	059
362	007	020	033	037	046	056
363	019	029	039	047	049	054
364	005	029	044	051	057	059
365	019	023	034	037	052	058
366	004	006	007	015	021	051
367	010	012	027	033	049	052
368	013	029	032	038	044	050
369	001	014	021	035	042	060
370	001	004	040	042	051	054
371	004	018	023	033	039	060
372	016	017	024	039	046	057
373	001	005	010	024	031	033
374	002	005	016	026	044	054
375	001	005	009	042	051	058
376	010	013	025	035	043	048
377	003	012	019	027	045	046
378	005	038	041	045	048	055
379	024	033	040	041	055	059
380	013	022	030	031	047	057
381	009	010	028	046	055	056
382	031	034	037	038	053	054
383	014	022	048	050	053	056
384	024	028	040	047	050	052
385	005	012	016	018	022	024
386	017	035	036	039	043	054
387	022	028	029	043	047	048
388	023	036	048	052	053	058
389	005	014	018	043	046	054
390	007	012	022	034	038	053
391	004	007	015	016	035	040
392	015	023	031	039	047	049
393	006	012	035	036	040	050
394	005	015	035	042	045	049
395	010	011	014	020	031	058
396	006	018	034	042	045	047
397	001	002	005	024	032	046
398	007	016	022	028	036	037
399	011	016	027	047	055	059
400	010	013	028	029	054	059
401	011	018	043	044	050	053
402	005	016	027	043	056	058
403	007	016	027	031	046	060
404	001	024	028	038	040	058
405	024	029	034	047	057	060
406	002	012	032	038	047	048
407	002	018	022	049	051	057
408	014	028	033	044	049	056
409	018	025	026	031	034	049
410	008	024	031	036	038	055
411	010	012	031	038	045	056
412	005	012	014	021	045	059
413	002	004	029	033	035	053
414	016	026	035	045	052	058
415	001	004	027	038	042	044
416	001	013	023	033	054	056
417	007	012	021	025	034	042
418	008	015	032	045	049	052
419	009	016	041	042	052	053
420	012	029	030	043	057	059
421	005	035	037	038	045	051
422	012	037	043	055	056	060
423	008	022	032	033	040	053
424	018	027	029	036	046	059
425	006	010	016	034	042	047
0,00	NAO	SIM	Estimativa de prêmio (SENA) próximo concurso: R$700.000,00. A CAIXA informa que o concurso 426 da Mega Sena acontecerá em 04/01/2003 (sábado).
426	007	030	032	037	050	054
427	003	013	014	024	043	051
428	008	028	030	032	046	060
429	017	026	032	036	043	055
430	008	010	021	025	038	050
431	026	037	040	047	052	058
432	004	013	017	027	039	050
433	016	017	028	030	036	054
434	004	010	017	024	030	054
435	010	011	017	031	037	043
436	001	006	007	029	048	057
437	007	010	030	044	054	059
438	003	005	011	014	038	048
439	013	020	029	042	043	057
440	003	005	023	030	046	047
441	002	010	015	021	058	059
0,00	SIM	SIM	Estimativa de prêmio (SENA) próximo concurso: R$21.000.000,00 (VINTE E UM MILHÕES!!!). No dia 05/03/2003 (Quarta-feira de Cinzas) não haverá sorteio da Loteria Federal, Lotomania e Mega-Sena.
442	006	015	023	031	037	059
