54	Brasília, DF	16/03/1997	005	009	018	021	036	056	2	207	13067	7.469.653,99	7.033,61	111,20	
55	Brasília, DF	23/03/1997	002	014	023	029	038	052	0	66	3840	0,00	10.817,63	185,56	
56	Brasília, DF	30/03/1997	002	007	020	035	051	059	0	48	2599	0,00	12.142,20	223,81	
57	Brasília, DF	06/04/1997	007	016	017	027	034	059	0	79	6173	0,00	10.699,10	136,65	
58	Brasília, DF	13/04/1997	012	027	030	037	044	049	1	65	5040	3.631.304,91	13.601,07	175,06	
59	Brasília, DF	20/04/1997	002	008	013	028	034	054	0	90	5351	0,00	7.312,34	122,75	
60	Brasília, DF	27/04/1997	003	014	015	020	021	038	0	129	7914	0,00	7.111,47	115,69	
61	Brasília, DF	04/05/1997	008	018	029	042	044	059	0	52	3866	0,00	18.902,94	253,76	
62	Brasília, DF	11/05/1997	006	008	013	024	031	052	0	119	8613	0,00	9.968,70	137,46	
63	Brasília, DF	18/05/1997	009	025	026	040	041	049	1	82	6359	13.680.019,57	16.246,91	209,10	
64	Brasília, DF	25/05/1997	008	012	023	050	054	060	0	29	2441	0,00	23.309,96	276,38	
65	Brasília, DF	01/06/1997	001	005	020	025	032	034	0	61	4932	0,00	11.542,37	142,48	
66	Brasília, DF	08/06/1997	012	013	015	026	033	048	0	102	7686	0,00	8.054,25	106,68	
67	Brasília, DF	15/06/1997	012	014	017	027	047	052	0	83	5479	0,00	10.617,25	160,52	
68	Brasília, DF	22/06/1997	001	003	012	013	053	059	0	49	4758	0,00	18.496,73	190,11	
69	Brasília, DF	29/06/1997	025	034	045	053	056	058	0	55	3661	0,00	17.271,48	258,96	
70	Brasília, DF	06/07/1997	017	023	027	040	043	058	0	95	6071	0,00	12.899,52	201,46	
71	Brasília, DF	13/07/1997	016	027	033	043	045	053	0	115	7430	0,00	12.451,74	192,35	
72	Brasília, DF	20/07/1997	001	019	034	043	044	048	0	85	7982	0,00	19.676,33	209,13	
73	Brasília, DF	27/07/1997	025	026	028	045	051	057	1	95	8222	21.026.575,40	21.205,27	244,52	
74	Brasília, DF	03/08/1997	002	024	034	037	038	050	0	40	3321	0,00	18.257,68	219,48	
75	Brasília, DF	10/08/1997	021	024	035	036	037	049	0	70	5032	0,00	12.395,02	172,09	
76	Brasília, DF	17/08/1997	008	017	018	023	033	053	0	92	6399	0,00	10.247,61	147,04	
77	Brasília, DF	24/08/1997	021	029	040	049	054	057	0	20	2635	0,00	49.648,81	376,09	
78	Brasília, DF	31/08/1997	012	022	025	031	032	046	0	103	5984	0,00	9.907,36	170,19	
79	Brasília, DF	07/09/1997	002	013	017	025	031	043	1	247	13375	6.770.601,75	4.404,85	81,18	
80	Brasília, DF	14/09/1997	023	028	037	040	048	051	0	43	4284	0,00	26.443,00	264,89	
81	Brasília, DF	21/09/1997	010	023	041	047	054	060	0	62	4870	0,00	19.453,15	247,17	
